"Ignoring headers, resistors, other passive parts",,,,,,,222,
,,,,,,,,
Type,Base Part #,Part Number,Stock Desc,Package,Source,Source Part #,Quantity,Description
Adapter,,PA-SOD3SM18-28,ADAPTER 28SOIC TO 28DIP 300MIL,,Digikey,,1,
Adapter,,,TSOP32 to DIP,,ProtoAdvantage,,2,
Adapter,,,SOIC32 to DIP,,ProtoAdvantage,,4,
Adapter,,,QFN32 TQFP32 to DIP,,Adafruit,,3,
Connector,,,DB9 Joystick to right angle DIP breadkout board,,ProtoAdvantage,,2,
Connector,,,Breadboard-friendly 2.1mm DC barrel jack,,Adafruit,,3,
Connector,,1728310000,TERM BLOCK HEADER 6POS 3.5MM BK,,Digikey,281-1807-ND,2,
Crystal,,,20.000MHz Crystal Oscillator,DIP,Futurelec,,2,
Crystal,,,30.000MHz Crystal Oscillator,DIP,Futurelec,,2,
Crystal,,,CRYSTAL 16.0MHZ 18PF THRU,DIP,Digikey,CTX1085-ND,4,
LCD,,,Standard LCD 16x2,,Adafruit,,1,
Logic,7432,7432,7432 - Quad 2-input OR Gate,DIP,Futurelec,,2,
Logic,7486,7486,7486 - Quad EXCLUSIVE-OR Gate,DIP,Futurelec,,2,
Logic,74HC4050,"74HC4050N,652",IC HEX LEVEL SHIFTER 16-DIP,DIP,Digikey,,4,
Logic,74HC595,SN74HC595N,IC 8-BIT SHIFT REGISTER 16-DIP,DIP,Digikey,296-1600-5-ND,4,
Logic,74HCT157,"74HCT157N,652",IC MULTIPLEXER QUAD 2INPUT 16DIP,DIP,Digikey,,6,
Logic,74HCT373,SN74HCT373N,IC OCT D-TYPE LATCH 20-DIP,DIP,Digikey,296-1616-5-ND,8,
Logic,74HCT373,SN74HCT373N,IC OCT D TRANSP LATCH 20-DIP,DIP,Digikey,296-1621-5-ND,8,
Logic,74LS138,74LS138,74LS138 - 3 to 8 Decoder/Demultiplexer,DIP,Futurelec,,5,
Logic,74LS139,74LS139,74LS139 - 2 to 4 Decoder/Demultiplexer,DIP,Futurelec,,5,
Logic,74LS151,74LS151,74LS151 - 8-input Multiplexer,DIP,Futurelec,,8,
Logic,74LS153,74LS153,74LS153 - Dual 4 to 1 Selector/Mult.,DIP,Futurelec,,8,
